eval,eval_description,interaction_id,failure_instance,rcb_booked,call_outcome,duration_seconds,notes
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/0d2ac8f6-20:03:22-5255c72d,"Asked 10x. Ask 1 (turn 26): ""So you feel the bar is actually rising because of AI, which makes the gap wider, but that's what's actually driving you…"" | Lead answered: ""I'm currently under five under under six LPA."" | Ask 2 (turn 50): ""Oh, you're right, my apologies. So you're a junior SDE—got it. And just to understand where you're at, what kind of sal…"" | Lead: ""What is your context? What is your context window? Is it really too small to remember my answers?""",No,self_learning_preferred,554.48,salary_now=under 6LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/10d398f8-19:13:13-0d16760d,"Asked 2x. Ask 1 (turn 46): ""Fair enough, so it's been more of a thought than a plan so far—right. Before we dive deeper, I wanted to ask, what kind…"" | Lead answered: ""Fifteen point five."" | Ask 2 (turn 64): ""Right, so it's just been a stalemate for three months—got it. And what kind of salary bracket are you in currently?"" | Lead: ""Ninety-five ma'am.""",No,busy_callback,550.44,salary_now=1.17 Lakh monthly
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/165b5df4-19:08:06-65392aa0,"Asked 4x. Ask 1 (turn 16): ""Okay, so you're in web dev right now but looking to pivot into data science—got it. And what's the current salary brack…"" | Lead answered: ""Um, I don't want to like to tell."" | Ask 2 (turn 24): ""So you've got it all sorted out—got it. Just to make sure I'm on the same page, what's your current salary bracket righ…"" | Lead: ""I'm just an intern so I just get a LPA three LPA yeah.""",No,self_learning_preferred,344,salary_now=3LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/2004cc6c-19:19:05-55053ae0,"Asked 5x. Ask 1 (turn 26): ""So you're aiming for a senior project manager role—got it. And just to get a better picture, what kind of salary bracke…"" | Lead answered: ""Thank you five lakhs."" | Ask 2 (turn 40): ""Right. So, just to make sure I've got the full picture, what kind of salary bracket are you in currently?"" | Lead: ""I mean I told you madam, I'll get 40 to 45 lakhs.""",No,intent_insufficient,482.07,salary_now=35LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/211d1e5b-19:33:19-ff0c1868,"Asked 2x. Ask 1 (turn 22): ""So you're just in the exploration phase right now—got it. Before we dive deeper, what kind of salary bracket are you in…"" | Lead answered: ""I am on around twenty."" | Ask 2 (turn 46): ""Fair enough, it's hard to predict. But usually, if we're just doing the same thing every day, we just get better at the…"" | Lead: ""20.""",No,intent_insufficient,401.42,salary_now=20 Lakhs
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/2482bfa7-19:39:34-e5d37606,"Asked 2x. Ask 1 (turn 24): ""So it's been about half a year now. And just to get a better picture, what kind of salary bracket are you in currently?"" | Lead answered: ""Yeah, currently about 10 LPA like that."" | Ask 2 (turn 38): ""Fair enough, I'll keep it moving. So, just to get a better picture, what kind of salary bracket are you in currently?"" | Lead: ""Yeah, how many times I told you, uh, last time when I told you, no, I am learning about the 10 LP like that.""",No,busy_callback,570.06,salary_now=10LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/296d227b-19:01:43-ca59082b,"Asked 2x. Ask 1 (turn 20): ""So the internship didn't lead to a PPO, and now you're on the hunt for a full-time role—right. I see. And just to under…"" | Lead answered: ""Uh maybe twelve thousand, twelve to fifteen thousand per month."" | Ask 2 (turn 32): ""So you're basically using every failure as a learning point and self-studying to make sure you don't hit the same wall …"" | Lead: ""I just want to I just want to know that that that call is for what call like for example""",No,do_not_contact,307.8,salary_now=1.44LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/389cbf3b-19:38:00-741ea895,"Asked 2x. Ask 1 (turn 24): ""So you're betting on on-the-job learning and taking on more responsibility to figure it out—got it. Before we go furthe…"" | Lead answered: ""Um twenty-five."" | Ask 2 (turn 54): ""Fair enough, you're playing it smart by not relying on them—got it. Just to get a better picture, what kind of salary b…"" | Lead: ""I already told you.""",No,intent_insufficient,483.79,salary_now=20+ LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/39e627b3-19:25:57-4cc3f38b,"Asked 2x. Ask 1 (turn 20): ""So you're aiming for a leadership role, managing a team—right. And to make that happen, what kind of salary bracket are…"" | Lead answered: ""Currently I'm having 14.9."" | Ask 2 (turn 34): ""So you're really looking for that hands-on exposure with things like React and React Native to stay current—right. And …"" | Lead: ""I already told you.""",No,not_interested_generic,344.5,salary_now=14.9LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/3a30ceaa-19:13:18-1b7999d5,"Asked 2x. Ask 1 (turn 22): ""So you'll likely move into a lead role, but you're feeling that automation and Python are becoming the real expectation…"" | Lead answered: ""Twenty five lakhs sir."" | Ask 2 (turn 36): ""So work's keeping you swamped and it's just pushing things back—got it. Before we go further, I just want to get a clea…"" | Lead: ""Uh uh""",No,,602.14,salary_now=
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/3baa7c3c-19:49:09-6fdc7f4c,"Asked 4x. Ask 1 (turn 14): ""Fair enough, you feel like you're still in the early stages so the gaps aren't obvious yet — got it. Just to get a bett…"" | Lead answered: ""Yes ma'am."" | Ask 2 (turn 16): ""I think you might've missed my question, uh, I was just asking what kind of salary bracket you're in currently?"" | Lead: ""Okay, I am at at 3 LPA right now.""",No,not_interested_pricing,409.31,salary_now=3LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/467fc9a6-19:38:02-71bf0d61,"Asked 3x. Ask 1 (turn 20): ""So you've handled the execution side for a while now, and you're feeling it's time to move from doing the work to actua…"" | Lead answered: ""Uh ten, ten LPA."" | Ask 2 (turn 36): ""So you're looking to master data interpretation and ABM to break into those big MNCs—right. I get that. But just to be …"" | Lead: ""20 to 25 lakh.""",No,intent_insufficient,392.03,salary_now=10LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/4a7a6bf9-19:26:25-27d3e4ac,"Asked 4x. Ask 1 (turn 24): ""So basically, you've been feeling this for a while but nothing's really shifted—right. And what kind of salary bracket …"" | Lead answered: ""No, but not exactly."" | Ask 2 (turn 28): ""Got it, so it's okay, but not really where it should be based on the market standards—right. I see. So, what kind of sa…"" | Lead: ""I don't wanted to reveal it.""",Yes,scheduled,553.84,salary_now=15LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/50b00e6c-19:57:19-20edec15,"Asked 3x. Ask 1 (turn 32): ""So the company's growing, but you're not really sure if your own role is growing with it — right. I get that. And what …"" | Lead answered: ""Uh I'm getting 15k in hand per month."" | Ask 2 (turn 50): ""Forty thousand, right? Got it. And just to understand the gap, what kind of salary bracket were you in before you took …"" | Lead: ""Break it is like I I took break to to care of my child. It was still she was only a three years old. I had to…""",No,busy_callback,507.21,salary_now=1.8LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/55b4a199-19:20:51-77422559,"Asked 3x. Ask 1 (turn 16): ""So you'll get the usual increments, but the role itself stays pretty much the same—no real leap in responsibility, righ…"" | Lead answered: ""Uh I'm in kind of 210kish."" | Ask 2 (turn 44): ""So you're looking at the next two years as a window to prep and get ready—right. And just to get a full picture, what k…"" | Lead: ""I'm around 210k.""",No,not_interested_generic,791,salary_now=210k
